date,tot_case,tot_deaths,WorldDeathpercentage
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,98.0,1,1.0204081632653061
2020-01-24,286.0,8,2.7972027972027971
2020-01-25,493.0,16,3.2454361054766734
2020-01-26,684.0,14,2.0467836257309941
2020-01-27,809.0,26,3.2138442521631645
2020-01-28,2651.0,49,1.8483591097698981
2020-01-29,589.0,2,0.3395585738539898
2020-01-30,2068.0,38,1.83752417794971
2020-01-31,1692.0,42,2.4822695035460995
2020-02-01,2111.0,46,2.179062055897679
2020-02-02,4749.0,103,2.1688776584544116
2020-02-03,3100.0,64,2.064516129032258
2020-02-04,4011.0,66,1.6454749439042633
2020-02-05,3745.0,72,1.9225634178905209
2020-02-06,3162.0,70,2.2137887413029729
2020-02-07,3533.0,85,2.4058873478630058
2020-02-08,2731.0,87,3.1856462834126695
2020-02-09,3028.0,100,3.3025099075297231
2020-02-10,2537.0,107,4.2175798186834843
2020-02-11,2043.0,100,4.8947626040137058
2020-02-12,378.0,5,1.3227513227513228
2020-02-13,15152.0,253,1.6697465681098205
2020-02-14,6485.0,152,2.343870470316114
2020-02-15,2076.0,143,6.8882466281310215
2020-02-16,2113.0,104,4.9219119734973971
2020-02-17,1936.0,98,5.06198347107438
2020-02-18,1794.0,140,7.8037904124860642
2020-02-19,421.0,115,27.315914489311165
2020-02-20,547.0,123,22.486288848263253
2020-02-21,629.0,4,0.63593004769475359
2020-02-22,1761.0,207,11.754684838160136
2020-02-23,324.0,10,3.0864197530864197
2020-02-24,568.0,160,28.169014084507044
2020-02-25,854.0,80,9.3676814988290413
2020-02-26,963.0,60,6.2305295950155761
2020-02-27,1359.0,43,3.1640912435614421
2020-02-28,1389.0,57,4.1036717062634986
2020-02-29,1896.0,70,3.6919831223628692
