Location,date,population,total_cases,totalcases_population
United States,2020-01-22,332915074.0,1.0,3.0037690633377566e-07
United States,2020-01-23,332915074.0,1.0,3.0037690633377566e-07
United States,2020-01-24,332915074.0,2.0,6.0075381266755131e-07
United States,2020-01-25,332915074.0,2.0,6.0075381266755131e-07
United States,2020-01-26,332915074.0,5.0,1.5018845316688785e-06
United States,2020-01-27,332915074.0,5.0,1.5018845316688785e-06
United States,2020-01-28,332915074.0,5.0,1.5018845316688785e-06
United States,2020-01-29,332915074.0,6.0,1.8022614380026541e-06
United States,2020-01-30,332915074.0,6.0,1.8022614380026541e-06
United States,2020-01-31,332915074.0,8.0,2.4030152506702052e-06
United States,2020-02-01,332915074.0,8.0,2.4030152506702052e-06
United States,2020-02-02,332915074.0,8.0,2.4030152506702052e-06
United States,2020-02-03,332915074.0,11.0,3.3041459696715324e-06
United States,2020-02-04,332915074.0,11.0,3.3041459696715324e-06
United States,2020-02-05,332915074.0,11.0,3.3041459696715324e-06
United States,2020-02-06,332915074.0,12.0,3.6045228760053083e-06
United States,2020-02-07,332915074.0,12.0,3.6045228760053083e-06
United States,2020-02-08,332915074.0,12.0,3.6045228760053083e-06
United States,2020-02-09,332915074.0,12.0,3.6045228760053083e-06
United States,2020-02-10,332915074.0,12.0,3.6045228760053083e-06
United States,2020-02-11,332915074.0,13.0,3.9048997823390842e-06
United States,2020-02-12,332915074.0,13.0,3.9048997823390842e-06
United States,2020-02-13,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-14,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-15,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-16,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-17,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-18,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-19,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-20,332915074.0,14.0,4.20527668867286e-06
United States,2020-02-21,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-22,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-23,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-24,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-25,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-26,332915074.0,16.0,4.8060305013404105e-06
United States,2020-02-27,332915074.0,17.0,5.1064074076741859e-06
United States,2020-02-28,332915074.0,17.0,5.1064074076741859e-06
United States,2020-02-29,332915074.0,25.0,7.5094226583443929e-06
United States,2020-03-01,332915074.0,32.0,9.612061002680821e-06
United States,2020-03-02,332915074.0,55.0,1.6520729848357661e-05
United States,2020-03-03,332915074.0,74.0,2.22278910686994e-05
