continent,location,date,population,new_vaccinations,Rolling_New_Vac
Asia,Afghanistan,2021-05-27,39835428.0,2859.0,2859.0
Asia,Afghanistan,2021-06-03,39835428.0,4015.0,6874.0
Asia,Afghanistan,2022-01-27,39835428.0,6868.0,13742.0
Europe,Albania,2021-01-13,2872934.0,60.0,60.0
Europe,Albania,2021-01-14,2872934.0,78.0,138.0
Europe,Albania,2021-01-15,2872934.0,42.0,180.0
Europe,Albania,2021-01-16,2872934.0,61.0,241.0
Europe,Albania,2021-01-17,2872934.0,36.0,277.0
Europe,Albania,2021-01-18,2872934.0,42.0,319.0
Europe,Albania,2021-01-19,2872934.0,36.0,355.0
Europe,Albania,2021-01-20,2872934.0,36.0,391.0
Europe,Albania,2021-01-21,2872934.0,30.0,421.0
Europe,Albania,2021-02-18,2872934.0,1348.0,1769.0
Europe,Albania,2021-02-19,2872934.0,1128.0,2897.0
Europe,Albania,2021-03-23,2872934.0,3461.0,6358.0
Europe,Albania,2021-03-24,2872934.0,2302.0,8660.0
Europe,Albania,2021-03-25,2872934.0,5356.0,14016.0
Europe,Albania,2021-03-26,2872934.0,2900.0,16916.0
Europe,Albania,2021-03-27,2872934.0,1827.0,18743.0
Europe,Albania,2021-03-28,2872934.0,13925.0,32668.0
Europe,Albania,2021-03-31,2872934.0,19525.0,52193.0
Europe,Albania,2021-04-01,2872934.0,16617.0,68810.0
Europe,Albania,2021-04-02,2872934.0,17023.0,85833.0
Europe,Albania,2021-04-03,2872934.0,13010.0,98843.0
Europe,Albania,2021-04-04,2872934.0,7386.0,106229.0
Europe,Albania,2021-04-05,2872934.0,13826.0,120055.0
Europe,Albania,2021-04-06,2872934.0,14880.0,134935.0
Europe,Albania,2021-04-07,2872934.0,10791.0,145726.0
Europe,Albania,2021-04-08,2872934.0,10163.0,155889.0
Europe,Albania,2021-04-09,2872934.0,8134.0,164023.0
Europe,Albania,2021-04-10,2872934.0,6134.0,170157.0
Europe,Albania,2021-04-13,2872934.0,13685.0,183842.0
Europe,Albania,2021-04-16,2872934.0,10134.0,193976.0
Europe,Albania,2021-04-17,2872934.0,10218.0,204194.0
Europe,Albania,2021-04-18,2872934.0,8065.0,212259.0
