Location,date,total_cases,population,coviddeath_population
United States,2020-01-22,1.0,332915074.0,
United States,2020-01-23,1.0,332915074.0,
United States,2020-01-24,2.0,332915074.0,
United States,2020-01-25,2.0,332915074.0,
United States,2020-01-26,5.0,332915074.0,
United States,2020-01-27,5.0,332915074.0,
United States,2020-01-28,5.0,332915074.0,
United States,2020-01-29,6.0,332915074.0,
United States,2020-01-30,6.0,332915074.0,
United States,2020-01-31,8.0,332915074.0,
United States,2020-02-01,8.0,332915074.0,
United States,2020-02-02,8.0,332915074.0,
United States,2020-02-03,11.0,332915074.0,
United States,2020-02-04,11.0,332915074.0,
United States,2020-02-05,11.0,332915074.0,
United States,2020-02-06,12.0,332915074.0,
United States,2020-02-07,12.0,332915074.0,
United States,2020-02-08,12.0,332915074.0,
United States,2020-02-09,12.0,332915074.0,
United States,2020-02-10,12.0,332915074.0,
United States,2020-02-11,13.0,332915074.0,
United States,2020-02-12,13.0,332915074.0,
United States,2020-02-13,14.0,332915074.0,
United States,2020-02-14,14.0,332915074.0,
United States,2020-02-15,14.0,332915074.0,
United States,2020-02-16,14.0,332915074.0,
United States,2020-02-17,14.0,332915074.0,
United States,2020-02-18,14.0,332915074.0,
United States,2020-02-19,14.0,332915074.0,
United States,2020-02-20,14.0,332915074.0,
United States,2020-02-21,16.0,332915074.0,
United States,2020-02-22,16.0,332915074.0,
United States,2020-02-23,16.0,332915074.0,
United States,2020-02-24,16.0,332915074.0,
United States,2020-02-25,16.0,332915074.0,
United States,2020-02-26,16.0,332915074.0,
United States,2020-02-27,17.0,332915074.0,
United States,2020-02-28,17.0,332915074.0,
United States,2020-02-29,25.0,332915074.0,3.0037690633377566e-07
United States,2020-03-01,32.0,332915074.0,3.0037690633377566e-07
United States,2020-03-02,55.0,332915074.0,1.8022614380026541e-06
United States,2020-03-03,74.0,332915074.0,2.10263834433643e-06
United States,2020-03-04,107.0,332915074.0,3.3041459696715324e-06
United States,2020-03-05,184.0,332915074.0,3.6045228760053083e-06
United States,2020-03-06,237.0,332915074.0,4.20527668867286e-06
United States,2020-03-07,403.0,332915074.0,5.1064074076741859e-06
United States,2020-03-08,519.0,332915074.0,6.3079150330092886e-06
United States,2020-03-09,594.0,332915074.0,6.6082919393430648e-06
United States,2020-03-10,782.0,332915074.0,8.41055337734572e-06
United States,2020-03-11,1147.0,332915074.0,9.9124379090145981e-06
United States,2020-03-12,1586.0,332915074.0,1.2916206972352354e-05
United States,2020-03-13,2219.0,332915074.0,1.531922222302256e-05
United States,2020-03-14,2978.0,332915074.0,1.7421860567358989e-05
United States,2020-03-15,3212.0,332915074.0,2.1026383443364298e-05
United States,2020-03-16,4679.0,332915074.0,2.9136559914376243e-05
United States,2020-03-17,6512.0,332915074.0,4.0250505448725947e-05
United States,2020-03-18,9169.0,332915074.0,5.8273119828752487e-05
United States,2020-03-19,13663.0,332915074.0,7.9900257084784332e-05
United States,2020-03-20,20030.0,332915074.0,0.00011174020915616455
United States,2020-03-21,26025.0,332915074.0,0.00014267903050854344
United States,2020-03-22,34944.0,332915074.0,0.00018112727451926675
United States,2020-03-23,46096.0,332915074.0,0.00023729775600368281
United States,2020-03-24,56714.0,332915074.0,0.0003102893442427903
United States,2020-03-25,68841.0,332915074.0,0.00041031485405193763
United States,2020-03-26,86662.0,332915074.0,0.000535572023993122
United States,2020-03-27,105253.0,332915074.0,0.000692368769099353
United States,2020-03-28,127417.0,332915074.0,0.00090653750331533506
United States,2020-03-29,143544.0,332915074.0,0.0010732466863305804
United States,2020-03-30,165698.0,332915074.0,0.00128561315910856
United States,2020-03-31,192079.0,332915074.0,0.0016097198410427039
United States,2020-04-01,223538.0,332915074.0,0.001993000773524602
United States,2020-04-02,255626.0,332915074.0,0.0024468702789949368
United States,2020-04-03,287830.0,332915074.0,0.0028734054859888979
United States,2020-04-04,319721.0,332915074.0,0.0033558107975609416
United States,2020-04-05,348964.0,332915074.0,0.0038418206320089908
United States,2020-04-06,380693.0,332915074.0,0.0043623738106854243
United States,2020-04-07,410758.0,332915074.0,0.00513614472140123
United States,2020-04-08,441836.0,332915074.0,0.0057822554469251818
United States,2020-04-09,477447.0,332915074.0,0.0064469895406418275
United States,2020-04-10,511786.0,332915074.0,0.0071036134578874614
United States,2020-04-11,540659.0,332915074.0,0.0077467204143480744
United States,2020-04-12,567110.0,332915074.0,0.0083141323904125774
United States,2020-04-13,594152.0,332915074.0,0.0089082779111407853
United States,2020-04-14,622501.0,332915074.0,0.00965171075431688
United States,2020-04-15,648131.0,332915074.0,0.010428785811002358
United States,2020-04-16,677800.0,332915074.0,0.011086310858966993
United States,2020-04-17,710594.0,332915074.0,0.011716801985361588
United States,2020-04-18,738155.0,332915074.0,0.012300734691274448
United States,2020-04-19,763796.0,332915074.0,0.012896382096534327
United States,2020-04-20,793822.0,332915074.0,0.013570728251253652
United States,2020-04-21,819749.0,332915074.0,0.014316564109680418
United States,2020-04-22,849135.0,332915074.0,0.015054590168542503
United States,2020-04-23,881512.0,332915074.0,0.015782703789495575
United States,2020-04-24,913454.0,332915074.0,0.016434221299333536
United States,2020-04-25,944519.0,332915074.0,0.016954474101103633
United States,2020-04-26,970658.0,332915074.0,0.017376804031408923
United States,2020-04-27,995287.0,332915074.0,0.017821361852782911
United States,2020-04-28,1019728.0,332915074.0,0.018494506499876905
United States,2020-04-29,1046333.0,332915074.0,0.019212707682920962
United States,2020-04-30,1075396.0,332915074.0,0.019871133861604596
United States,2020-05-01,1110669.0,332915074.0,0.020444553375795774
United States,2020-05-02,1137974.0,332915074.0,0.020967509569722879
United States,2020-05-03,1161857.0,332915074.0,0.021328862988042409
United States,2020-05-04,1185737.0,332915074.0,0.021736774826843677
United States,2020-05-05,1209670.0,332915074.0,0.022403911935810993
United States,2020-05-06,1234149.0,332915074.0,0.023100485981599021
United States,2020-05-07,1261649.0,332915074.0,0.023676308511040869
United States,2020-05-08,1288996.0,332915074.0,0.024208576389064314
United States,2020-05-09,1313545.0,332915074.0,0.024648328179936962
United States,2020-05-10,1332262.0,332915074.0,0.024949005463177073
United States,2020-05-11,1351318.0,332915074.0,0.025259595184326196
United States,2020-05-12,1374546.0,332915074.0,0.025737494842303237
United States,2020-05-13,1394507.0,332915074.0,0.026257747644073334
United States,2020-05-14,1420479.0,332915074.0,0.026792718914253791
United States,2020-05-15,1445360.0,332915074.0,0.027292846463299526
United States,2020-05-16,1469487.0,332915074.0,0.027652697997087389
United States,2020-05-17,1487862.0,332915074.0,0.027902311206250759
United States,2020-05-18,1510452.0,332915074.0,0.028268470655071626
United States,2020-05-19,1531003.0,332915074.0,0.028702515284723937
United States,2020-05-20,1553571.0,332915074.0,0.0291521795135056
United States,2020-05-21,1578951.0,332915074.0,0.029510829539668128
United States,2020-05-22,1602863.0,332915074.0,0.029872483334893993
United States,2020-05-23,1623019.0,332915074.0,0.030195088132296467
